
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	.	. MIV_IHCC_4s_0s_3s, 354, 141, 128, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_ihcc_ctrl_4s_0s_3s_1s_3s, 354, 136, 128, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_irqs_1, 22, 17, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_mem_4s_IHC_SUBSYSTEM_7_3, 128, 10, 64, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_mem_4s_IHC_SUBSYSTEM_7_4, 128, 4, 64, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_IHCC_4s_0s_4s, 354, 213, 128, 0, 0, 0, 0, 0, 0
.	.	.	.	. miv_ihcc_ctrl_4s_0s_4s_1s_3s, 354, 208, 128, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_irqs_2, 22, 16, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_mem_4s_IHC_SUBSYSTEM_7_5, 128, 10, 64, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. miv_ihcc_mem_4s_IHC_SUBSYSTEM_7_6, 128, 4, 64, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_IHCIA_0, 21, 33, 0, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_IHCIA_1, 21, 24, 0, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_IHCIA_2, 21, 32, 0, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_IHCIA_3, 21, 33, 0, 0, 0, 0, 0, 0, 0
.	.	.	. MIV_IHCIA_4, 21, 25, 0, 0, 0, 0, 0, 0, 0
.	.	. PF_SOC_MSS, 0, 0, 0, 0, 0, 0, 0, 0, 94
.	. CAPE, 1470, 552, 930, 0, 0, 0, 0, 0, 49
.	.	. CAPE_DEFAULT_GPIOS, 0, 0, 0, 0, 0, 0, 0, 0, 26
.	.	. CAPE_PWM, 455, 128, 338, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_C1, 455, 128, 338, 0, 0, 0, 0, 0, 0
.	.	.	.	. corepwm_Z6_DEFAULT_6BA5ED31DBDDB144872513, 455, 128, 338, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_pwm_gen_2s_32s_0_0s_2, 2, 10, 96, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_reg_if_Z7_2, 389, 117, 96, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_timebase_32s_0s_1_1_0, 64, 1, 146, 0, 0, 0, 0, 0, 0
.	.	. CAPE_PWM_0, 455, 127, 338, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_C1_1, 455, 127, 338, 0, 0, 0, 0, 0, 0
.	.	.	.	. corepwm_Z6_DEFAULT_6BA5ED31DBDDB144872513_0, 455, 127, 338, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_pwm_gen_2s_32s_0_0s_2_0, 2, 10, 96, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_reg_if_Z7_2_0, 389, 116, 96, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_timebase_32s_0s_1_1_1, 64, 1, 146, 0, 0, 0, 0, 0, 0
.	.	. CAPE_PWM_2, 454, 164, 254, 0, 0, 0, 0, 0, 0
.	.	.	. corepwm_C1_0, 454, 164, 254, 0, 0, 0, 0, 0, 0
.	.	.	.	. corepwm_Z6_0, 454, 164, 254, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_pwm_gen_2s_32s_0_0s_0, 1, 5, 48, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_reg_if_Z7_0, 389, 74, 60, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. corepwm_timebase_32s_0s_1_1, 64, 85, 146, 0, 0, 0, 0, 0, 0
.	.	. CoreAPB3_CAPE, 0, 122, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CoreAPB3_Z3, 0, 122, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAPB3_MUXPTOB3_2, 0, 119, 0, 0, 0, 0, 0, 0, 0
.	.	. P8_GPIO_UPPER, 64, 2, 0, 0, 0, 0, 0, 0, 16
.	.	.	. CoreGPIO_P8_UPPER, 64, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreGPIO_P8_UPPER_CoreGPIO_P8_UPPER_0_CoreGPIO_Z4, 64, 2, 0, 0, 0, 0, 0, 0, 0
.	.	. P9_GPIO, 42, 9, 0, 0, 0, 0, 0, 0, 7
.	.	.	. CoreGPIO_P9, 42, 9, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. CoreGPIO_P9_CoreGPIO_P9_0_CoreGPIO_Z5, 42, 9, 0, 0, 0, 0, 0, 0, 0
.	. CLOCKS_AND_RESETS, 49, 1, 0, 0, 0, 0, 0, 8, 0
.	.	. CLK_DIV, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CLK_DIV_CLK_DIV_0_PF_CLK_DIV, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. CORERESET_0, 17, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. CORERESET_CORERESET_0_CORERESET_PF_3, 17, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. CORERESET_2, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CORERESET_CORERESET_0_CORERESET_PF_1, 16, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. CORERESET_3, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CORERESET_CORERESET_0_CORERESET_PF_0, 16, 1, 0, 0, 0, 0, 0, 0, 0
.	.	. FPGA_CCC_C0, 0, 0, 0, 0, 0, 0, 0, 4, 0
.	.	.	. FPGA_CCC_C0_FPGA_CCC_C0_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 4, 0
.	.	. GLITCHLESS_MUX, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. GLITCHLESS_MUX_GLITCHLESS_MUX_0_PF_NGMUX, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. INIT_MONITOR, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. INIT_MONITOR_INIT_MONITOR_0_PFSOC_INIT_MONITOR, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. OSCILLATOR_160MHz, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. OSCILLATOR_160MHz_OSCILLATOR_160MHz_0_PF_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. PCIE_REF_CLK, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. PCIE_REF_CLK_PCIE_REF_CLK_0_PF_XCVR_REF_CLK, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. PF_CCC_ADC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	. PF_CCC_ADC_PF_CCC_ADC_0_PF_CCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. TRANSMIT_PLL, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. TRANSMIT_PLL_TRANSMIT_PLL_0_PF_TX_PLL, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. M2_INTERFACE, 2216, 1516, 120, 0, 0, 0, 16, 3, 0
.	.	. AXI_ADDRESS_SHIM, 0, 2, 0, 0, 0, 0, 0, 0, 0
.	.	. FIC_1_INITIATOR, 1114, 745, 64, 0, 0, 0, 8, 1, 0
.	.	.	. COREAXI4INTERCONNECT_Z9, 1114, 745, 64, 0, 0, 0, 8, 1, 0
.	.	.	.	. caxi4interconnect_MasterConvertor_Z12, 528, 279, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_1_8s_38s_64s_0s_1s, 528, 279, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_11s_0_1_3_2, 22, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_76s_0_1_3_2, 152, 79, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_77s_0_1_3_0, 106, 56, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_77s_0_1_3_1, 100, 53, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_82s_0_1_3_2, 148, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. caxi4interconnect_ResetSycnc_COREAXI4INTERCONNECT_Z9, 2, 0, 0, 0, 0, 0, 0, 1, 0
.	.	.	.	. caxi4interconnect_SlaveConvertor_Z16, 584, 466, 64, 0, 0, 0, 8, 0, 0
.	.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_1_9s_38s_64s_0s_1s, 528, 294, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_12s_0_1_3_2, 22, 14, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_77s_0_1_3_3, 152, 85, 0, 0, 0, 0, 0, 0, 0
